,0
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2008-01-01,2008-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2004-01-01,2004-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2000-01-01,2000-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
2002-01-01,2002-01-01
